> [{cost: 68, cost_one: 1, cost_two: 2}]
> [{cost: 68, cost_one: 1, cost_two: 5}]
> [{cost: 68, cost_one: 2, cost_two: 2}]
> [{cost: 68, cost_one: 3, cost_two: 4}]
> [{cost: 68, cost_one: 3, cost_two: 4}]
> [{cost: 68, cost_one: 3, cost_two: 4}]
> [{cost: 67, cost_one: 3, cost_two: 2}]
> [{cost: 66, cost_one: 4, cost_two: 3}]
> [{cost: 66, cost_one: 1, cost_two: 2}]
> [{cost: 66, cost_one: 1, cost_two: 5}]
> [{cost: 66, cost_one: 3, cost_two: 5}]
> [{cost: 65, cost_one: 2, cost_two: 1}]
> [{cost: 65, cost_one: 1, cost_two: 2}]
> [{cost: 65, cost_one: 1, cost_two: 4}]
> [{cost: 65, cost_one: 2, cost_two: 4}]
> [{cost: 65, cost_one: 3, cost_two: 3}]
> [{cost: 65, cost_one: 1, cost_two: 3}]
> [{cost: 65, cost_one: 1, cost_two: 4}]
> [{cost: 65, cost_one: 0, cost_two: 2}]
> [{cost: 64, cost_one: 2, cost_two: 1}]
> [{cost: 64, cost_one: 2, cost_two: 5}]
> [{cost: 63, cost_one: 3, cost_two: 2}]
> [{cost: 60, cost_one: 5, cost_two: 2}]
> [{cost: 60, cost_one: 2, cost_two: 2}]
> [{cost: 60, cost_one: 2, cost_two: 4}]
> [{cost: 60, cost_one: 2, cost_two: 4}]
> [{cost: 60, cost_one: 2, cost_two: 3}]
> [{cost: 60, cost_one: 0, cost_two: 4}]
> [{cost: 60, cost_one: 1, cost_two: 3}]
> [{cost: 60, cost_one: 2, cost_two: 3}]
> [{cost: 60, cost_one: 2, cost_two: 5}]
